model,task,backend,precision,accuracy,avg_latency_ms,model_size_mb,accuracy_drop_%,latency_speedup_x,size_reduction_x
bert-base-uncased,qnli,openvino,fp32,0.5892,131.59,418.01,0.0,1.0,1.0
bert-base-uncased,qnli,openvino,int8,0.5923,86.08,105.76,0.31,1.529,3.952
bert-base-uncased,qnli,openvino,int4,0.5933,79.61,67.3,0.41,1.653,6.211
bert-base-uncased,qnli,pytorch,fp32,0.5892,242.36,417.66,0.0,1.0,1.0
bert-base-uncased,qnli,pytorch,int8,0.5167,107.52,91.08,-7.25,2.254,4.586
bert-base-uncased,sst2,openvino,fp32,0.9243,128.16,418.01,0.0,1.0,1.0
bert-base-uncased,sst2,openvino,int8,0.922,94.41,105.76,-0.23,1.357,3.952
bert-base-uncased,sst2,openvino,int4,0.9232,92.86,67.3,-0.11,1.38,6.211
bert-base-uncased,sst2,pytorch,fp32,0.9243,308.11,417.66,0.0,1.0,1.0
bert-base-uncased,sst2,pytorch,int8,0.9128,137.58,91.08,-1.15,2.239,4.586
distilbert-base-uncased,qnli,openvino,fp32,0.8849,66.95,255.63,0.0,1.0,1.0
distilbert-base-uncased,qnli,openvino,int8,0.8841,49.1,64.62,-0.08,1.364,3.956
distilbert-base-uncased,qnli,openvino,int4,0.8739,44.41,45.28,-1.1,1.508,5.646
distilbert-base-uncased,qnli,pytorch,fp32,0.8849,124.25,255.42,0.0,1.0,1.0
distilbert-base-uncased,qnli,pytorch,int8,0.8596,60.99,91.0,-2.53,2.037,2.807
distilbert-base-uncased,sst2,openvino,fp32,0.9106,51.1,255.63,0.0,1.0,1.0
distilbert-base-uncased,sst2,openvino,int8,0.9117,42.52,64.62,0.11,1.202,3.956
distilbert-base-uncased,sst2,openvino,int4,0.9083,41.25,45.28,-0.23,1.239,5.646
distilbert-base-uncased,sst2,pytorch,fp32,0.9106,123.41,255.42,0.0,1.0,1.0
distilbert-base-uncased,sst2,pytorch,int8,0.9014,66.85,91.0,-0.92,1.846,2.807
